,label
235,3.4011973816621555
12172,4.0943445622220995
5192,4.499809670330264
10955,4.941642422609304
7813,3.688879454113936
144,4.0943445622220995
16332,3.912023005428147
7751,4.499809670330264
10989,4.0943445622220995
3462,4.700480365792417
12645,4.605170185988092
2962,3.912023005428147
8444,4.0943445622220995
4764,6.309918278226516
11742,3.912023005428147
1110,3.688879454113936
6285,3.688879454113936
1031,6.606650186198214
4415,6.016157159698354
3606,4.499809670330264
9529,4.700480365792417
2561,4.0943445622220995
6771,4.0943445622220995
431,6.606650186198214
4074,3.912023005428147
14792,4.787491742782046
9287,3.912023005428147
13699,4.700480365792417
1478,3.912023005428147
16277,4.787491742782046
1337,3.912023005428147
12803,4.700480365792417
11032,4.0943445622220995
8689,3.912023005428147
1612,2.9957322735539913
1844,4.605170185988092
9552,3.912023005428147
2669,3.4011973816621555
15,4.605170185988092
12313,3.912023005428147
11631,3.912023005428147
13783,4.382026634673881
10119,4.248495242049359
1306,5.135798437050261
9832,3.912023005428147
1046,3.912023005428147
14089,4.0943445622220995
16067,4.382026634673881
9495,4.382026634673881
3428,5.799092654460527
16539,2.9957322735539913
15269,6.131226489483142
10835,4.248495242049359
9504,4.605170185988092
12042,4.499809670330264
15639,5.521460917862246
1679,4.867534450455582
10991,4.0943445622220995
7255,3.912023005428147
4039,5.966146739123692
243,4.0943445622220995
1372,3.688879454113936
14922,4.605170185988092
1214,3.912023005428147
5848,3.912023005428147
5271,4.0943445622220995
4791,4.248495242049359
9537,4.248495242049359
13681,4.248495242049359
10061,3.688879454113936
9987,3.912023005428147
16376,4.382026634673881
461,4.382026634673881
4059,4.248495242049359
715,4.248495242049359
6221,4.499809670330264
2760,4.700480365792417
7500,4.382026634673881
1067,3.688879454113936
12820,4.605170185988092
9764,5.598421958998375
13159,4.0943445622220995
9991,4.0943445622220995
3885,4.499809670330264
13252,6.646390514847728
6713,3.4011973816621555
12016,4.0943445622220995
7676,3.912023005428147
14546,5.4380793089231965
16480,3.912023005428147
269,3.912023005428147
11274,4.0943445622220995
16252,2.9957322735539913
16536,3.4011973816621555
15836,6.3279367837291955
